tag correlation,stemming tequeniques,correlation value,p value
tags,none,0.125560874904,1.30865177283e-05
emoticons,none,0.030337311133,0.294093210859
ellipses,none,0.35612275566,3.87228043275e-37
tags,Lancaster,0.155835119019,5.91645583271e-08
emoticons,Lancaster,0.0410929198121,0.155191966039
ellipses,Lancaster,0.351140480974,4.36487312446e-36
tags,Porter,0.149576140006,1.98186895906e-07
emoticans,Porter,0.0443237848886,0.125203689064
ellipses,Porter,0.392883670649,1.67663668579e-45
