id	dob
16931	1986-12-19
17014	0000-00-00
17030	1986-08-11
17055	NULL
17156	NULL
17158	NULL
17268	1987-02-23
17287	NULL
17394	NULL
17598	NULL
17676	NULL
17714	NULL
17766	NULL
17859	NULL
17860	NULL
17863	NULL
17877	0000-00-00
17904	1985-05-07
17907	1981-09-08
17908	NULL
17994	NULL
18005	NULL
18079	NULL
18081	NULL
18098	NULL
18117	NULL
18138	NULL
18161	NULL
18177	NULL
18186	NULL
18217	NULL
18218	1986-06-29
18224	NULL
18227	NULL
18261	NULL
18300	1988-01-29
18334	NULL
18366	NULL
18398	NULL
18479	NULL
18481	NULL
18529	NULL
18539	NULL
18542	1983-09-20
18549	NULL
18597	1980-04-25
18625	NULL
18648	NULL
18715	NULL
18744	NULL
18778	NULL
18864	NULL
18875	NULL
18943	1984-07-12
18989	1983-01-03
19113	NULL
19119	NULL
19125	NULL
19141	NULL
19152	NULL
19183	NULL
19207	1990-04-07
19221	NULL
19300	NULL
19304	NULL
19330	NULL
19380	1982-08-13
19392	NULL
19395	NULL
19400	NULL
19440	NULL
19447	NULL
19457	NULL
19483	1981-12-17
19518	1985-12-03
19535	NULL
19539	NULL
19548	NULL
19556	NULL
19561	NULL
19571	1989-08-18
19574	NULL
19693	NULL
19699	NULL
19741	NULL
19745	NULL
19783	1987-08-25
19784	NULL
19816	NULL
19909	NULL
19928	NULL
19954	1986-01-04
19984	NULL
20093	NULL
20230	NULL
20248	1986-07-31
20295	NULL
20399	NULL
20417	NULL
20420	1986-07-15
20425	NULL
20578	NULL
20803	NULL
20895	NULL
21109	NULL
21123	1983-03-25
21128	NULL
21193	NULL
21211	1986-12-04
21228	NULL
21229	NULL
21233	NULL
21292	1988-09-03
21306	NULL
21313	NULL
21390	NULL
21392	NULL
21394	NULL
21493	NULL
21504	NULL
21507	NULL
21519	NULL
21544	NULL
21555	NULL
21584	NULL
21602	NULL
21613	NULL
21644	NULL
21716	NULL
21723	NULL
21733	NULL
21737	NULL
21766	NULL
21782	1987-01-02
21784	NULL
21906	1990-12-21
21907	NULL
21968	NULL
21979	NULL
21988	NULL
21995	NULL
22002	1986-12-01
22004	NULL
22039	NULL
22066	NULL
22100	NULL
22124	NULL
22230	NULL
22601	NULL
24495	1984-06-18
24768	NULL
26625	1989-12-16
28167	1986-09-17
28515	NULL
28661	NULL
28669	NULL
28703	NULL
29328	NULL
29382	NULL
29757	NULL
29958	1981-11-12
31572	1985-11-12
32091	NULL
34349	NULL
35652	NULL
36440	NULL
37650	NULL
38001	NULL
38055	NULL
38175	NULL
38535	NULL
38557	NULL
38567	NULL
40660	1991-01-21
42855	NULL
45096	NULL
45821	1969-12-04
45839	NULL
46012	NULL
48068	NULL
48071	NULL
48521	1989-09-10
49699	1988-02-15
54517	1987-07-14
60077	NULL
60201	1985-04-27
60303	NULL
61253	1988-04-26
61411	0000-00-00
61414	NULL
61488	NULL
61775	1988-01-08
61982	NULL
62158	NULL
62245	NULL
62327	NULL
62385	NULL
64492	1988-03-20
64574	NULL
64674	1989-09-13
65552	1986-11-17
65581	1988-12-11
65680	1988-06-01
66163	NULL
66187	1988-04-03
66192	NULL
67028	NULL
67651	NULL
67886	NULL
69056	1982-06-26
69058	1987-05-13
69650	NULL
69790	NULL
70017	NULL
70778	NULL
72806	NULL
72840	1988-05-03
72858	1988-11-26
72875	1987-09-27
72922	NULL
73013	0000-00-00
73204	1988-03-16
73446	NULL
74656	NULL
77587	NULL
78298	NULL
80024	NULL
80093	NULL
80479	NULL
80611	1987-06-19
80832	NULL
80867	0000-00-00
80874	1986-09-13
81303	NULL
81858	1983-12-07
82649	1984-06-17
82658	NULL
82688	NULL
82722	NULL
86400	NULL
86424	NULL
86903	NULL
88849	1984-10-10
91045	NULL
91214	1986-11-18
91265	NULL
91267	NULL
91284	1990-04-19
92572	NULL
93105	NULL
93711	NULL
94089	NULL
95235	NULL
95259	NULL
95554	NULL
95678	1986-09-06
95971	NULL
98112	1982-12-05
99197	NULL
99267	NULL
99620	NULL
99988	NULL
100140	1987-08-17
100210	NULL
100358	NULL
101251	1987-12-18
101819	NULL
102632	1984-07-05
103200	NULL
104977	NULL
106435	NULL
107061	NULL
108236	1988-08-20
108807	1987-02-26
110572	1977-09-27
110689	NULL
112484	1989-12-05
112596	0000-00-00
112716	1982-02-19
112789	NULL
113404	NULL
113889	1985-02-05
114103	1990-02-05
114565	NULL
114570	NULL
114575	NULL
114725	1984-02-24
114732	NULL
116395	NULL
116469	0000-00-00
116470	1988-09-17
116593	NULL
117151	1981-03-02
117216	1983-08-28
117843	NULL
121930	1988-12-06
122816	NULL
123263	0000-00-00
124623	NULL
127687	1994-06-30
128303	NULL
128830	NULL
128909	NULL
129444	1985-10-29
129944	NULL
129991	NULL
132880	NULL
133465	NULL
138904	NULL
139055	NULL
139057	1984-12-23
139061	NULL
139134	NULL
139144	NULL
139192	NULL
139225	NULL
140470	1988-06-28
140702	NULL
141158	NULL
142108	NULL
142528	NULL
142822	0000-00-00
143911	NULL
147391	NULL
149655	NULL
151080	NULL
152381	NULL
153078	NULL
154226	NULL
154228	NULL
154675	1986-08-23
155161	NULL
157320	1987-08-27
158382	NULL
159980	NULL
160019	NULL
161655	NULL
161751	NULL
161772	NULL
164231	NULL
164252	NULL
164902	NULL
165289	NULL
165760	NULL
167160	1991-03-02
167299	1987-05-05
167421	NULL
168758	NULL
168910	1990-03-30
170207	1986-03-20
170238	NULL
170751	NULL
170871	NULL
171436	NULL
171456	NULL
171489	NULL
171509	NULL
171531	NULL
171539	1986-12-14
171734	NULL
171902	NULL
171936	NULL
171950	1987-02-22
172017	NULL
172027	NULL
172160	NULL
172192	1985-06-21
172232	NULL
172234	NULL
172235	NULL
172239	NULL
173573	1982-02-28
177080	1988-04-21
177090	NULL
177488	1988-01-31
180656	NULL
183385	NULL
192407	1979-07-10
193237	NULL
194074	NULL
194252	NULL
194375	NULL
194569	NULL
194654	NULL
196869	1986-08-21
197203	NULL
197222	NULL
197238	NULL
197330	1987-10-12
197338	NULL
197342	NULL
197424	NULL
197456	NULL
197477	1987-12-23
197580	1985-10-12
197582	NULL
197599	NULL
197642	NULL
197645	NULL
197660	NULL
197680	NULL
197691	NULL
197753	NULL
197792	1988-10-30
197891	NULL
201862	NULL
202991	NULL
204545	NULL
204785	NULL
204819	NULL
204838	NULL
204880	NULL
204894	NULL
204932	NULL
204939	NULL
208046	NULL
208327	NULL
208345	NULL
208347	NULL
208374	NULL
208423	NULL
208465	NULL
253395	NULL
258094	NULL
258798	NULL
258809	NULL
258842	NULL
258851	1985-04-25
258858	NULL
258918	NULL
259320	NULL
259822	1985-10-11
260170	NULL
260177	NULL
260185	NULL
261155	NULL
261522	NULL
261615	NULL
263649	1986-09-25
266106	1983-03-28
267094	NULL
267137	NULL
267375	1967-04-30
267521	NULL
268192	NULL
268199	NULL
268362	1987-03-11
269064	1984-04-04
269072	NULL
269128	NULL
269189	NULL
269321	NULL
269771	NULL
269782	NULL
270584	1985-06-22
272131	NULL
277080	1987-07-10
278765	NULL
289940	NULL
289982	NULL
290297	NULL
290309	NULL
290317	NULL
290333	NULL
290336	NULL
290363	NULL
290369	NULL
290373	NULL
290375	NULL
291232	NULL
291367	NULL
291370	NULL
291402	NULL
291405	NULL
291436	1976-10-31
291437	NULL
291445	NULL
291501	NULL
291514	NULL
291543	NULL
291568	NULL
291646	NULL
291652	NULL
291713	NULL
291994	0000-00-00
292024	1992-07-30
294170	NULL
294210	NULL
294321	NULL
294375	NULL
294380	NULL
294388	NULL
294393	1987-06-28
294471	NULL
294485	1988-12-28
294564	NULL
299064	NULL
299068	NULL
299079	NULL
299874	1989-10-24
299892	NULL
299905	NULL
300304	NULL
300313	NULL
300334	NULL
300373	NULL
301982	NULL
302005	NULL
302010	NULL
302015	NULL
302019	NULL
302057	NULL
302087	NULL
302140	NULL
302155	NULL
302158	NULL
304340	NULL
304380	1989-06-22
305063	NULL
305091	NULL
305188	NULL
305190	NULL
306344	NULL
306387	NULL
306396	NULL
306410	NULL
306430	NULL
306450	NULL
306457	NULL
306482	NULL
306525	NULL
306551	NULL
306552	1985-06-26
306571	NULL
306577	1987-03-27
306610	NULL
306611	NULL
306633	NULL
306639	NULL
306641	NULL
308797	NULL
310068	NULL
310105	NULL
310203	NULL
310223	NULL
310260	NULL
310274	NULL
310275	NULL
312145	NULL
312244	NULL
313674	NULL
313704	1984-11-22
313706	NULL
313713	NULL
313751	NULL
313826	NULL
313837	NULL
313843	NULL
313906	NULL
313946	1984-07-27
313974	NULL
313976	NULL
314013	NULL
314018	NULL
314034	NULL
320589	NULL
320617	1984-06-11
320646	NULL
320649	NULL
320652	NULL
320665	NULL
320697	NULL
320726	NULL
320750	NULL
320797	NULL
320799	NULL
320815	NULL
320822	NULL
320833	NULL
320842	NULL
320848	NULL
320865	NULL
320879	NULL
320907	NULL
320944	1985-06-24
320954	NULL
320972	NULL
321040	NULL
321046	1986-12-02
321088	NULL
321144	NULL
321166	NULL
321173	NULL
321181	NULL
321187	NULL
327078	NULL
327121	NULL
327126	NULL
327189	NULL
327226	NULL
327250	NULL
327255	NULL
327257	NULL
327269	NULL
327278	NULL
327317	NULL
327335	1984-02-22
327405	NULL
327413	NULL
327469	NULL
328839	NULL
328853	NULL
328878	NULL
332969	NULL
332994	NULL
333044	NULL
333063	NULL
334764	NULL
334773	NULL
334789	NULL
334801	NULL
334822	NULL
334849	NULL
334859	NULL
334906	NULL
336488	NULL
336490	1984-12-11
336522	NULL
336534	NULL
336552	NULL
336560	NULL
338768	NULL
338775	NULL
338834	NULL
338854	1978-07-15
338857	NULL
338865	NULL
338885	NULL
338916	NULL
338926	NULL
338938	NULL
338942	NULL
338946	NULL
338948	NULL
338949	NULL
338963	NULL
338978	NULL
339071	NULL
339097	1954-08-03
352467	1981-06-29
359476	NULL
370703	1988-05-08
378734	NULL
380606	NULL
393006	NULL
403975	1987-12-17
422232	NULL
428910	NULL
453506	NULL
463575	NULL
472493	NULL
480253	1976-08-11
493482	NULL
505084	1987-09-16
573847	NULL
580401	NULL
594054	NULL
594409	NULL
595998	NULL
662039	NULL
662551	NULL
674669	NULL
763666	NULL
795751	NULL
1008807	NULL
1029550	1987-01-25
1125174	NULL
1125204	NULL
1125218	NULL
1125220	NULL
1125235	NULL
1125239	NULL
1125263	NULL
1125277	NULL
1125283	NULL
1125329	NULL
1125342	NULL
1125357	NULL
1125404	1993-05-10
1125505	NULL
1125667	NULL
1125836	NULL
1125863	NULL
1125911	NULL
1126109	1988-02-27
1126133	NULL
1126317	NULL
1126433	NULL
1126458	NULL
1126518	NULL
1126644	NULL
1126964	NULL
1127071	NULL
1127224	NULL
1127323	NULL
1127381	1980-07-16
1127435	1986-08-02
1127702	NULL
1127733	NULL
1127907	NULL
1127942	NULL
1127962	NULL
1128002	NULL
1128074	NULL
1128169	NULL
1128227	NULL
1128228	NULL
1128241	NULL
1128264	NULL
1128266	NULL
1128330	NULL
1128337	NULL
